Smiles,AlogP,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,5.08,17.26,0.34,3.93,7.51
Cl.O=C(NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21)[C@@H]1CCCN1,5.1,16.92,0.33,3.94,8.53
O=C1Cc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c2N1,4.11,20.24,0.39,4.71,8.71
O=C1NCc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c21,3.86,19.74,0.38,4.74,8.49
O=C1Cc2cc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)ccc2N1,4.11,17.33,0.33,3.44,7.46
O=C1NCc2ccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cc21,3.86,20.39,0.39,5.03,8.77
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.O,6.14,14.67,0.29,2.38,8.01
CN(C)[C@@H](CS(C)(=O)=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,6.65,12.74,0.25,0.93,7.77
CCOC(=O)CNc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,6.36,12.73,0.25,0.3,7.04
CN(C)CCc1ccc(Nc2nccc(-c3c(-c4cccc(NC(=O)c5c(F)cccc5F)c4)nc4sccn34)n2)cc1,6.9,12.71,0.24,0.67,8.65
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1F,2.5,13.73,0.26,1.88,5.02
COc1cccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)c1,2.36,14.26,0.27,2.37,4.9
O=C(NO)[C@H]1C[C@H](CC(=O)N2CCCCC2)CC[C@@H]1C(=O)N1CCN(c2ccccc2)CC1,2.28,14.83,0.28,4.49,7.26
O=C(Cc1cc(F)c(F)cc1F)Nc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,7.98,9.98,0.19,-1.9,7.12
O=C(/C=C/c1ccc(F)cc1)Nc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,8.18,10.07,0.19,-2.29,6.9
FC(F)(F)c1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,6.17,18.59,0.37,1.35,11.97
COCCCN1CCC([C@H]2CC[C@H](n3nc(-c4ccc5nc(Cc6ccccc6Cl)[nH]c5c4)c4c(N)ncnc43)CC2)CC1,6.68,11.85,0.23,0.59,6.56
COc1ccc(/C=N/NC2=NC(=O)CS2)cc1,1.25,20.21,0.4,3.79,7.99
O=C1CSC(N/N=C/c2cccc(F)c2)=N1,1.38,19.65,0.4,3.28,8.66
COc1cccc(/C=N/NC2=NC(=O)CS2)c1,1.25,17.42,0.35,3.09,6.89
O=C(Nc1ccccc1)N(Cc1ccc(F)cc1)Cc1cc(Cl)cc(Cl)c1O,6.07,11.96,0.24,-1.05,9.54
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,4.28,14.81,0.29,2.34,9.63
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1[N+](=O)[O-],2.26,12.7,0.24,2.14,3.37
N=C(N)SCCCn1c(=O)c2c(c1=O)n1c3ccccc3cc1c1cccc3ccn2c31,3.63,11.58,0.22,1.48,5.23
O=C1CSC(N/N=C/c2cc(Br)ccc2O)=N1,1.71,20.3,0.51,4.67,8.61
CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,5.7,17.15,0.33,1.79,9.84
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(O)c(O)c1,2.3,16.05,0.3,2.47,3.92
COc1cc(C=C(C#N)C#N)cc(SCC(=O)O)c1O,2.01,18.39,0.36,3.33,4.67
CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,5.92,15.55,0.31,2.6,8.41
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1,2.36,15.04,0.28,2.28,4.97
CCCC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,4.3,21.94,0.43,4.12,10.55
COc1ccc(/C=C2\C(=O)Nc3ccccc32)cc1C(C)(C)C,4.49,15.87,0.29,0.39,12.73
CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)c(F)c4)c4c(N)ncnc43)CC2)CC1,5.48,11.18,0.21,0.96,5.64
C=CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,4.26,19.33,0.42,2.88,10.67
Cc1cccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)c1,2.7,24.67,0.45,5.6,11.61
C#Cc1cccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)c1,2.38,23.54,0.43,5.77,11.41
COC(=O)N1C[C@@H](OC(=O)N2CCCC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1,0.9,16.07,0.31,7.19,6.13
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.41,17.9,0.33,3.63,9.42
Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@@H](C)C(=O)N(C)CCO)c34)cc2C)cn1,4.4,14.58,0.27,2.71,6.48
CCN1CCN(CCCC#Cc2c(C)ncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)CC1,5.67,14.26,0.27,1.77,13.91
CC(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)C)c1O,5.13,16.04,0.29,0.02,10.45
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,5.08,20.48,0.37,3.04,10.66
O=C(C#CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,4.56,15.37,0.32,2.58,10.17
CC(=O)N1N=C(c2ccc(I)cc2)CC1c1ccc(C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,4.26,9.47,0.22,1.3,4.64
Cc1cc(C)c(O)c(CN(Cc2ccc(O)cc2)C(=S)Nc2ccccc2)c1,5.11,12.8,0.25,-0.09,9.01
CCC(=O)Nc1cc2c(Nc3ccc4[nH]ccc4c3)ncnc2cc1OC,4.21,16.87,0.31,1.89,6.63
CCOc1cc2ncnc(Nc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c2cc1NC(=O)/C=C/CN1CCCC1,5.55,12.61,0.24,1.97,6.35
CCOc1cc2ncnc(Nc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2cc1NC(=O)/C=C/CN1CCOCC1,4.4,11.48,0.22,2.36,5.02
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,3.62,21.7,0.42,5.08,10.48
Cc1cc(Nc2ncnc3cnc(N4CCCC4)cc23)ccc1Oc1ccc(C(=O)NCC(C)(C)C)cc1,6.25,14.58,0.27,1.19,8.07
CNc1cc2c(Nc3ccc(Oc4ccc(C(=O)NCC(C)(C)C)cc4)c(C)c3)ncnc2cn1,5.69,15.99,0.29,1.83,7.44
Cc1cc(Nc2ncnc3cnc(N4CCOCC4)cc23)ccc1OC1CCN(C(=O)C2CCCC2)CC1,4.47,14.99,0.28,3.27,8.35
COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)Nc5c(F)cccc5F)CC4)c(C)c3)c2c1,5.15,11.58,0.22,1.97,6.05
COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)C5CCCO5)CC4)c(C)c3)c2c1,3.34,11.23,0.21,2.92,5.45
COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)CC(C)(C)C)CC4)c(C)c3)c2c1,4.6,12.6,0.23,2.43,6.65
COc1cc2ncnc(Nc3ccc(Oc4ccc(C(=O)NCC(C)(C)C)cc4)c(C)c3)c2cc1OC,6.27,13,0.24,0.24,6.88
Cc1cc(Nc2ncnc3cnc(N(C)C)cc23)ccc1OC1CCN(C(=O)Nc2c(F)cccc2F)CC1,5.5,14.43,0.27,2.2,8.06
CN(C)C/C=C(\F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,4.69,13.54,0.27,2.14,7.7
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(CC(=O)NC(C)C)CC1,4.54,12.72,0.25,1.85,7.21
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(CC(=O)N(C)C)CC1,4.11,13.64,0.27,2.55,8.34
O=S(=O)(c1ccc2[nH]c3nccc(Nc4cccc(OCc5ccccc5)c4)c3c2c1)N1CCOCC1,5.06,8.84,0.17,-0.51,4.71
COc1cc2ncnc(NCc3ccc(Cl)c(F)c3)c2cc1OCCCCCCC(=O)NO,4.88,13.25,0.26,1.44,5.99
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC(=O)NO,3.45,19.6,0.39,4.52,7.55
O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c3s2)C1)N1CCOCC1,4.52,12.59,0.24,3,7.07
Cc1ccc(S(=O)(=O)O)cc1.Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5ccc(CN6CCOCC6)o5)cc34)cc2Cl)c1,6.84,14.46,0.28,1.04,10.85
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.41,16.23,0.3,2.98,8.55
Clc1ccc(C2=NN(c3nc(-c4ccc(Br)cc4)cs3)C(c3ccc4c(c3)OCO4)C2)cc1,7.31,10.44,0.23,-1.69,11.98
NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5cnccn5)c(Cl)c4)c23)CC1,3.42,16.31,0.31,4.17,7.12
Fc1cccc(COc2ccc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)cc2Cl)c1,4.35,12.55,0.24,1.9,7.63
CS(=O)(=O)CCNC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,3.61,11.65,0.22,3.11,6.14
N[C@H]1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)C1,3.54,15.96,0.29,3.74,8.16
NC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c2c1,6.33,15.01,0.29,0.78,6.96
CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2c1,4.96,18.57,0.35,2.84,8.76
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,6.14,13.57,0.27,1.75,7.42
O=C(CCl)OCCn1c(=O)oc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc21,3.86,12.84,0.26,1.94,5.84
NP(=O)(OCCOc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)N(CCCl)CCCl,5.38,11.98,0.29,1.36,6.57
C#Cc1cccc(Nc2ncnc3ccc(OCCCCOP(N)(=O)N(CCCl)CCCl)cc23)c1,5.38,10.58,0.22,0.3,5.53
NP(=O)(OCCCC(=O)Oc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1)N(CCCl)CCCl,7.29,8.02,0.17,-1.8,4.26
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,6.14,13.85,0.27,1.91,7.57
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.41,14.82,0.27,2.42,7.8
O=C(Cc1c[nH]c2ccccc12)NNC(=S)Nc1ncccc1Br,2.89,12.14,0.28,2.02,6
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,6.14,14.75,0.29,2.43,8.06
CCCCCCC(=O)ON[C@H](CS(C)(=O)=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,8.11,9.78,0.19,-1.31,5.13
CCC(=O)ON[C@H](CS(C)(=O)=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,6.55,10.67,0.21,0.27,5.14
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Cl)cc1,3.01,15.85,0.32,2.31,6.1
CC(C)N1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,6.12,12.3,0.23,1.09,6.31
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1,3.69,23.04,0.45,4.23,9.93
NC(=O)COCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,3.01,15.62,0.29,3.95,6.19
NP(=O)(OCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1)N(CCCl)CCCl,7.77,10.02,0.21,-1.05,6.01
NP(=O)(OCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)N(CCCl)CCCl,5.8,10.11,0.22,-0.23,5.43
COc1cc(N2CCC(O)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,6.7,9.26,0.17,-0.7,5.13
Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,5.86,15.92,0.41,-0.19,14.01
COC1=CC(=O)C=CC1=O,0.22,32.85,0.62,4.32,10.46
COc1ccc(OC(=O)CCCC(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,3.62,13.44,0.25,1.56,4.94
C=C(CN1CCOCC1)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,3.96,13.53,0.29,2.38,7.99
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)N1CCc2ccccc21,2.59,17.33,0.32,2.72,6.28
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1,2.64,15.62,0.28,1.74,4.69
O=C1CSC(N2N=C(c3ccccc3)CC2c2ccc(Cl)cc2)=N1,4.12,14.94,0.3,1.2,11.81
Fc1ccc(-c2csc(N3N=C(c4ccc(N5CCOCC5)cc4)CC3c3ccc(Cl)cc3)n2)cc1,6.79,9.94,0.2,-1.63,12.59
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc2ccccc2c1,3.51,14.33,0.26,1.52,5.77
CC(C)N(CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C(C)C,5.2,14.13,0.3,1.59,9.68
CCCCC(=O)ON[C@H](CS(C)(=O)=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,7.33,10.17,0.2,-0.54,5.12
O=C(NO)[C@H]1CC(OC(=O)N2CCCC2)CN[C@@H]1C(=O)N1CC=C(c2ccccc2)CC1,1.39,18.65,0.35,6.86,7.42
CC(C)OC(=O)N(C)C1CN[C@H](C(=O)N2CC=C(c3ccccc3)CC2)[C@@H](C(=O)NO)C1,1.63,18.16,0.34,6.44,7.26
CN1C[C@@H](OC(=O)N2CC=CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1,0.54,18.4,0.35,7.88,7.97
Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,4.51,16.85,0.34,1.79,7.9
Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=S)NCCCN5CCOCC5)cc34)cc2Cl)c1,5.75,13.62,0.27,2.17,9.47
O=C(CCCC(=O)Oc1ccc(/C=C/[N+](=O)[O-])cc1)OCc1ccco1,3.35,15.08,0.28,2.07,4.98
O=C(CBr)OCCn1c(=O)oc2cc3ncnc(Nc4ccc(Oc5cccc(C(F)(F)F)c5)c(Cl)c4)c3cc21,6.68,10.85,0.24,0.24,6.38
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1,2.75,13.82,0.25,1.71,4.77
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCO4)c1,2.97,13.24,0.24,3.06,7.56
N#Cc1n[nH]nc1-c1ccccc1,1.34,25.1,0.45,2.93,6.54
O=C(NO)[C@H]1C[C@@H](CC(=O)N2CCCCC2)CC[C@@H]1C(=O)N1CCN(c2ccccc2)CC1,2.28,16.96,0.32,5.46,8.31
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccccc1Cl,3.54,16.42,0.32,1.38,6.05
NC(=O)COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,3.86,15.47,0.3,2.88,6.01
CCNC(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,5.63,13.01,0.26,1.74,7.56
Cc1cc(OC2CCN(CCS(C)(=O)=O)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,6.93,8.13,0.15,-0.93,4.59
COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,7.28,8.51,0.16,-1.28,5.5
N#Cc1cnc2cc(OC[C@@H](O)CO)c(NC(=O)CC3CSSC3)cc2c1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,6.29,10.56,0.21,0.63,5.06
Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1C(=O)NNC(=O)CCN1CCOCC1,2.52,9.97,0.19,2.72,3.65
N#Cc1c(N)ncnc1Nc1ccc(OCc2ccccc2)c(Cl)c1,3.91,17.99,0.35,2.42,6.53
O=C1NCc2c(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cccc21,3.86,15.66,0.3,2.96,6.74
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)CCN(C)C,5.77,11.03,0.21,0.24,5.35
O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCC(c2ccccc2)C1,1.27,18.77,0.35,5.18,7.89
NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,4.85,16.13,0.31,2.57,8.63
OCc1nc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cs1,4.94,14.55,0.29,1.86,8.48
Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1-c1nnc(CCN2CCOCC2)o1,3.96,13.97,0.27,3.14,5.7
CN1CCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,4.15,14.28,0.26,2.77,10.4
Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)c1,4.61,14.59,0.27,1.83,10.18
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)CCN1CCCCC1,6.69,10.27,0.2,-0.68,5.35
O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccc(Br)cc1,2.64,13.67,0.33,2.45,8.04
COc1ccc(CC(=O)NS(=O)(=O)c2ccc(F)cc2)cc1,1.88,14.32,0.29,2.75,6.39
C=CC(=O)Nc1ccc2nccc(Oc3ccc(C(=O)Nc4cc(CC)ccn4)cc3)c2c1,5.36,14.99,0.27,1.21,7.05
COc1cc2nccc(Oc3ccc(C(=O)Nc4ccccn4)cc3)c2cc1NC(=O)C#CCCN1CCOCC1,4.35,13.39,0.25,3.04,6.43
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,3.31,12.89,0.23,2.69,5.06
CSCCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1,7.46,14.09,0.28,0.28,10.72
COc1ccc(NC(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,4.23,17.39,0.36,2.16,15.36
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.41,17.27,0.32,3.39,9.09
O[C@@H]1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)C1,2.78,14.63,0.27,4.34,7.45
C=CC(=O)Nc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,6.51,15.35,0.29,1.03,8.83
Fc1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,5.29,22.64,0.44,2.74,12.78
N#Cc1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)cc1,5.02,16.98,0.32,1.12,7.09
OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,5.63,17.65,0.35,2.29,10.97
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(F)cc1,2.5,16.39,0.31,2.73,6
Cc1ccc(-c2n[nH]nc2C#N)cc1,1.65,24.09,0.43,2.79,6.79
CC(=O)Nc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,6.34,14.34,0.28,0.53,8.05
COc1cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1COC[C@@H]1CNCCO1,3.52,12.76,0.24,3.08,6.62
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(C(F)(F)F)c4)c3c2)o1,6.5,10.83,0.21,0.16,6.26
CCCS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,6.92,12.45,0.25,0.67,7.13
CN1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,5.34,12,0.23,1.36,5.87
O=C1Cc2ccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cc2N1,4.11,15.8,0.3,2.78,6.8
O=C1NCc2cc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)ccc21,3.86,17.77,0.34,3.88,7.65
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Br)cc1,3.12,14.03,0.32,2.21,6.11
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(-c2ccccc2)cc1,4.02,15.02,0.28,1.65,6.5
CN(C)CCc1cccc(Nc2nccc(-c3c(-c4cccc(NC(=O)Cc5ccccc5)c4)nc4sccn34)n2)c1,6.55,11.89,0.22,0.27,7.8
CNC(=O)CN(C)CCOc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,3.23,13,0.26,2.59,6.57
CNC(=O)CN1CC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,2.98,13.36,0.26,2.98,6.72
CNC(=O)CN1CCC(Oc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2OC)CC1,3.76,13.88,0.27,2.82,7.42
COCCNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,3.78,12.75,0.25,2.82,6.75
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(CC(N)=O)CC1,3.5,15.95,0.31,3.84,7.15
Oc1c(Br)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,5.69,12.86,0.29,0.04,16.14
CCCCN(Cc1cc(Cl)cc(Cl)c1O)C(=S)Nc1ccccc1,5.7,11.48,0.25,-1.3,12.4
Cc1c(C(=O)NCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,4.36,11,0.21,1.71,6.17
CCN(CC)CCNC(=O)c1[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1C,5.45,15.53,0.3,2.7,8.57
CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)cc2)CC1,6.59,10.59,0.2,-0.08,7.18
Cc1cccc(CN(Cc2ccc(F)cc2)C(=S)Nc2ccccc2)c1O,5.24,12.63,0.24,-0.43,13.54
CCCCN(Cc1cccc(Cl)c1O)C(=S)Nc1ccccc1,5.04,12.86,0.27,-0.55,12.64
COc1ccc(/C=C/C(=O)Nc2cccc(Oc3cc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncn3)c2)cc1OC,8.05,9.42,0.18,-2.14,5.69
O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccccc1,1.87,17.3,0.35,3.21,8.03
O=C(Cc1ccc(Br)cc1)NS(=O)(=O)c1ccccc1,2.5,13.32,0.32,2.22,7.46
CN(C)Cc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)[nH]1,6.86,14.01,0.28,0.26,10.78
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,4.39,16.38,0.32,3.57,8.98
CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN1[C@H](C)CCC[C@@H]1C,6.93,11.69,0.21,-0.04,7.09
CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,6.15,13.75,0.25,1.57,7.94
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,6.14,12.8,0.25,1.3,7
CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21)S(C)(=O)=O,5.17,14.87,0.3,3.53,6.79
OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,5.22,19.82,0.4,3.46,10.2
CC(C)(C)NC(=O)c1cccc(Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)c1,5.14,18,0.35,3.5,8.53
CCC1=C2C(Nc3ccc4c(cnn4Cc4ccccc4)c3)=NC=NC2N=C1NC(=O)OCCC1CCNCC1,4.5,13.8,0.25,2.93,6.34
O=[N+]([O-])c1cccc(Nc2ccnc3[nH]c4ccc(Br)cc4c23)c1,5.13,13.19,0.29,-0.08,6.03
COc1cccc(Nc2ccnc3[nH]c4ccc(S(=O)(=O)N5CCOCC5)cc4c23)c1,3.49,13.47,0.26,2.42,6.12
